"";"APCR";"ARAG";"BRCI";"COAR";"COCR";"COPA";"EVAR";"GORH";"HISE";"HIST";"LAME";"LYPH";"MAJU";"MEAT";"MECI";"MIDR";"OCVE";"PAAE";"PIBR";"PIRA";"PLAR";"PLID";"POIC";"PYTI";"SAIL";"THSY"
"A1";0;0;7;0;7;15;17;5;2;1;0;3;6;0;1;1;7;0;0;0;0;0;4;110;0;1
"A10";0;0;17;2;4;5;0;4;5;1;0;10;33;4;1;8;3;1;0;2;0;0;2;100;4;3
"A11";0;0;1;4;0;14;2;15;0;0;0;1;3;0;0;16;6;1;0;0;0;0;0;45;1;7
"A12";0;0;16;0;1;7;0;1;4;0;0;7;17;0;0;8;2;1;0;0;0;0;2;37;1;8
"A13";0;0;0;0;1;0;0;6;0;1;0;5;0;0;0;16;0;0;0;0;0;0;0;27;0;0
"A14";0;0;0;0;0;1;0;2;1;0;0;0;0;1;0;9;0;0;0;0;0;0;0;0;0;0
"A15";0;0;1;0;0;4;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"A16";0;0;1;2;2;11;1;2;0;0;2;5;0;0;0;0;0;0;0;0;0;0;1;24;0;0
"A17";3;0;0;11;1;0;0;1;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;7;0;0
"A18";0;0;0;0;0;0;0;0;0;3;0;6;0;0;0;0;2;2;0;0;0;0;0;0;0;0
"A19";0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"A2";0;1;0;1;2;10;5;3;2;3;1;8;30;0;2;6;4;0;1;0;0;0;4;17;0;1
"A20";0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"A21";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"A22";0;0;0;0;5;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"A23";0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;12;0;0;0;0
"A24";0;0;0;0;0;0;0;0;2;6;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0
"A25";0;0;0;0;0;0;0;0;6;2;0;2;0;4;0;0;0;0;1;0;0;0;0;0;3;0
"A26";0;0;0;0;0;0;0;0;1;4;0;1;0;8;0;0;0;0;2;0;0;2;0;0;3;0
"A27";0;0;0;0;0;0;0;2;0;0;0;1;0;107;0;0;0;0;4;0;0;28;0;0;9;0
"A28";0;0;0;0;0;0;0;0;0;1;0;0;0;42;0;0;0;0;6;0;0;6;0;0;1;0
"A29";0;0;0;0;0;0;0;0;2;3;2;2;0;0;0;0;0;0;0;0;8;0;0;0;6;0
"A3";0;0;3;4;0;4;3;34;4;0;2;1;38;0;0;2;7;0;2;0;0;0;3;5;0;1
"A30";0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;26;0;0;0;2;0
"A31";0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;2;0;0;0;38;0
"A32";0;0;0;0;3;0;0;0;1;3;0;0;0;0;0;0;0;0;1;4;10;0;0;0;26;0
"A33";0;0;0;0;1;0;0;0;2;2;0;0;0;0;0;0;0;0;0;1;36;0;2;0;44;0
"A4";0;0;1;0;0;1;0;8;1;0;1;0;17;0;0;6;4;0;2;0;0;0;0;12;0;2
"A5";0;0;0;0;0;5;0;1;0;1;0;2;6;0;0;2;1;0;0;0;0;0;3;10;0;2
"A6";0;0;18;2;0;19;5;5;4;0;1;16;46;0;0;1;4;0;0;0;0;0;12;32;0;3
"A7";0;0;0;0;0;2;0;2;3;0;5;13;3;0;1;7;0;0;1;0;0;0;0;4;0;0
"A8";0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0
"A9";0;0;0;0;0;12;0;0;0;0;0;14;0;0;1;6;0;0;1;0;0;0;1;30;0;0
