"";"h_strate_arboree";"cover_strate_arboree";"cover_strate_arbustive";"cover_strate_herbacee";"cover_sol_nu"
"A1";12,5;5;30;60;5
"A10";17,4;70;50;30;70
"A11";11,88;45;81;80;30
"A12";12,54;60;20;95;20
"A13";10,42;30;61;15;70
"A14";19,675;75;50;100;20
"A15";13,06;75;32;100;35
"A16";13,92;50;15;40;60
"A17";13,36;50;63;10;60
"A18";11,26;50;20;5;80
"A19";11,64;65;10;2;90
"A2";13;35;16;50;10
"A20";9,5;30;15;5;90
"A21";8,64;50;0;1;90
"A22";9,14;0;50;10;75
"A23";12,46;0;50;5;80
"A24";10,6;0;40;5;80
"A25";12,02;20;36;5;80
"A26";9,68;0;40;10;70
"A27";9,52;0;35;45;40
"A28";11,08;35;25;10;75
"A29";8,6;3;80;5;95
"A3";12,86;35;20;40;5
"A30";6,04;3;91;5;100
"A31";12,54;0;70;5;70
"A32";12,48;5;71;5;80
"A33";9,94;5;65;5;80
"A4";11,68;30;5;75;10
"A5";14,36;45;5;60;10
"A6";9,5;15;31;85;15
"A7";17,94;20;53;70;20
"A8";17,64;25;91;85;40
"A9";17,18;35;60;80;10
