espece;genus;species;full_species
AGUR;Aglais;urtica;Aglais_urtica
ANCA;Anthocaris;cardamines;Anthocaris_cardamines
APIL;Apatura;ilia;Apatura_ilia
APIR;Apatura;iris;Apatura_iris
APHY;Aphantopus;hyperantus;Aphantopus_hyperantus
APCR;Aporia;crataegi;Aporia_crataegi
ARLE;Araschnia;levana;Araschnia_levana
ARAR;Arethusana;arethusa;Arethusana_arethusa
ARAD;Argynnis;adippe;Argynnis_adippe
ARAGL;Argynnis;aglaja;Argynnis_aglaja
ARNI;Argynnis;niobe;Argynnis_niobe
ARPA;Argynnis;paphia;Argynnis_paphia
ARAG;Aricia;agestis;Aricia_agestis
BRDA;Brenthis;daphne;Brenthis_daphne
BRHE;Brenthis;hecate;Brenthis_hecate
BRIN;Brenthis;ino;Brenthis_ino
BRCI;Brintesia;circe;Brintesia_circe
CARU;Callophrys;rubi;Callophrys_rubi
CAAL;Carcharodus;alceae;Carcharodus_alceae
CAMA;Caryreus;marshalli;Caryreus_marshalli
CEAR;Celastrina;argiolus;Celastrina_argiolus
CLDI;Clossiana;dia;Clossiana_dia
CLEU;Clossiana;euphrosyne;Clossiana_euphrosyne
CLSE;Clossiana;selene;Clossiana_selene
COAR;Coenonympha;arcania;Coenonympha_arcania
COOE;Coenonympha;oedippus;Coenonympha_oedippus
COPA;Coenonympha;pamphilus;Coenonympha_pamphilus
COAL;Colias;alfacariensis;Colias_alfacariensis
COCR;Colias;crocea;Colias_crocea
CUMI;Cupido;minimus;Cupido_minimus
CYSE;Cyaniris;semiargus;Cyaniris_semiargus
ERME;Erebia;meolans;Erebia_meolans
ERTA;Erynnis;tages;Erynnis_tages
EUCR;Euchloe;crameri;Euchloe_crameri
EUAU;Euphydryas;aurinia;Euphydryas_aurinia
EVAL;Everes;alcetas;Everes_alcetas
EVAR;Everes;argiades;Everes_argiades
GLAL;Glaucopsyche;alexis;Glaucopsyche_alexis
GOCL;Gonepteryx;cleopatra;Gonepteryx_cleopatra
GORH;Gonepteryx;rhamni;Gonepteryx_rhamni
HECO;Hesperia;comma;Hesperia_comma
HEMO;Heteropterus;morpheus;Heteropterus_morpheus
HIFA;Hipparchia;fagi;Hipparchia_fagi
HISE;Hipparchia;semele;Hipparchia_semele
HIST;Hipparchia;statilinus;Hipparchia_statilinus
INIO;Inachis;io;Inachis_io
IPPO;Iphiclides;podalirius;Iphiclides_podalirius
ISLA;Issoria;lathonia;Issoria_lathonia
LAEV;Laeosopis;evippus;Laeosopis_evippus
LABO;Lampides;boeticus;Lampides_boeticus
LAMA;Lasiommata;maera;Lasiommata_maera
LAME;Lasiommata;megera;Lasiommata_megera
LESI;Leptidea;sinapis;Leptidea_sinapis
LICA;Limenitis;camilla;Limenitis_camilla
LIRE;Limenitis;reducta;Limenitis_reducta
LOAC;Lopinga;achine;Lopinga_achine
LYAL;Lycaena;alciphron;Lycaena_alciphron
LYPH;Lycaena;phlaeas;Lycaena_phlaeas
LYTI;Lycaena;tityrus;Lycaena_tityrus
LYBE;Lysandra;bellargus;Lysandra_bellargus
LYCO;Lysandra;coridon;Lysandra_coridon
MAAR;Maculinea;arion;Maculinea_arion
MAJU;Maniola;jurtina;Maniola_jurtina
MEGA;Melanargia;galathea;Melanargia_galathea
MECI;Melitaea;cinxia;Melitaea_cinxia
MEDIA;Melitaea;diamina;Melitaea_diamina
MEDI;Melitaea;didyma;Melitaea_didyma
MEPA;Melitaea;parthenoides;Melitaea_parthenoides
MEPH;Melitaea;phoebe;Melitaea_phoebe
MEAT;Melitaea;athalia;Melitaea_athalia
MEDE;Mellicta;dejone;Mellicta_dejone
MIDR;Minois;dryas;Minois_dryas
NEQU;Neozephyrus;quercus;Neozephyrus_quercus
NYAN;Nymphalis;antiopa;Nymphalis_antiopa
NYPO;Nymphalis;polychloros;Nymphalis_polychloros
OCVE;Ochlodes;venatus;Ochlodes_venatus
PAMA;Papilio;machaon;Papilio_machaon
PAAE;Pararge;aegeria;Pararge_aegeria
PIBR;Pieris;brassicae;Pieris_brassicae
PINA;Pieris;napi;Pieris_napi
PIRA;Pieris;rapae;Pieris_rapae
PLAR;Plebejus;argus;Plebejus_argus
PLID;Plebejus;idas;Plebejus_idas
POCA;Polygonia;c-album;Polygonia_c-album
POES;Polyommatus;escheri;Polyommatus_escheri
POIC;Polyommatus;icarus;Polyommatus_icarus
PYMA;Pyrgus;malvae;Pyrgus_malvae
PYBA;Pyronia;bathseba;Pyronia_bathseba
PYTI;Pyronia;tithonus;Pyronia_tithonus
SAIL;Satyrium;ilicis;Satyrium_ilicis
SAWA;Satyrium;w-album;Satyrium_w-album
THAC;Thymelicus;acteon;Thymelicus_acteon
THLI;Thymelicus;lineolus;Thymelicus_lineolus
THSY;Thymelicus;sylvestris;Thymelicus_sylvestris
VAAT;Vanessa;atalanta;Vanessa_atalanta
VACA;Vanessa;cardui;Vanessa_cardui
