"";"pente_25m2";"ecart_sud";"ele";"pourc_roche_m2";"pourc_lit_m2";"pourc_sol_nu_m2";"pourc_musc_m2";"pourc_herb_m2";"bois_mort_m2"
"F23";12;135;1160;0;99;0;1;6;680
"F15";24;55;1262;0;90;0;0;10;0
"F16";35;20;1321;0;30;0;0;70;0
"F18";27;3;1350;0;40;0;0;60;0
"F20";35;200;1256;0;0;0;0;0;0
"F25";11;115;1288;0;97;0;3;0;0
"F26";34;75;1187;25;70;0;5;0;0
"F27";30;76;1186;20;15;0;65;0;0
"F30";28;115;1172;0;98;2;0;0;0
"F32";45;105;1192;0;40;15;5;40;0
"F40";35;65;1289;0;30;0;0;70;0
"F46";36;104;1331;0;93;0;0;7;0
"F50";33;47;1261;0;50;0;0;50;0
"F57";35;70;1230;0;90;10;0;0;100
"F17";35;55;1333;0;80;0;0;20;0
"F21";35;7;1374;0;25;70;0;5;0
"F24";4;125;1176;0;70;0;30;0;1300
"F31";10;105;1138;0;95;0;5;0;0
"F41";15;130;1276;0;73;0;7;20;0
"F43";29;150;1295;0;85;0;0;15;0
"F44";28;145;1307;2;63;0;25;10;1820
"F45";10;185;1307;20;0;55;15;10;450
"F47";31;60;1354;0;53;7;0;40;0
"F48";25;70;1303;17;40;38;0;5;600
"F49";35;45;1170;0;100;0;0;0;0
"F53";30;58;1253;0;80;0;0;20;0
"F54";34;130;1265;0;75;0;0;25;0
"F55";32;90;1261;0;85;15;0;0;625
"F56";45;56;1257;0;85;0;0;15;160
"F59";31;61;1287;0;50;0;0;50;100
"F14";27;68;1206;0;85;0;0;15;0
"F19";35;36;1307;0;90;0;0;10;0
"F33";30;88;1211;0;60;0;0;40;600
"F51";54;94;1250;0;90;0;0;10;0
"F52";30;55;1246;5;50;10;0;35;0
"F58";22;125;1278;0;90;10;0;0;500
"F12";30;190;1366;0;90;0;0;10;360
"F13";19;154;1335;10;90;0;0;0;700
"F2";35;85;1319;0;30;0;40;30;0
"F3";28;123;1359;0;80;0;0;20;0
"F34";42;85;1275;20;40;2;15;23;0
"F35";35;74;1288;30;10;0;50;10;0
"F36";40;95;1284;0;20;0;70;10;0
"F37";36;110;1296;15;0;45;40;10;0
"F38";30;149;1265;0;90;0;0;10;0
"F4";30;87;1380;0;75;0;0;25;0
"F42";28;135;1286;2;83;0;0;15;0
"F5";45;160;1358;0;85;0;0;15;0
"F6";40;150;1296;30;0;50;20;0;1280
"F60";29;93;1293;15;30;55;0;0;11200
"F8";42;90;1429;0;75;0;2;23;0
"F22";33;85;1145;5;80;0;0;5;1620
"F39";43;100;1284;0;100;0;0;0;2800
"F7";33;145;1416;20;65;0;5;10;1000
"F1";15;90;1173;0;95;0;5;0;1760
"F10";25;195;1245;15;85;0;0;0;0
"F11";15;60;1311;0;100;0;0;0;0
"F9";19;157;1366;5;95;0;0;0;0
