"";"x";"y"
"F23";689819,3121;6493398,995
"F15";688069,4508;6493454,886
"F16";688051,2311;6493556,757
"F18";688319,0469;6493715,715
"F20";688269,95;6493545,342
"F25";690035,3098;6493388,537
"F26";690005,5985;6493498,305
"F27";690032,0573;6493645,297
"F30";690367,7466;6493878,751
"F32";688095,8138;6493043,493
"F40";687776,6706;6492207,554
"F46";687019,5752;6492337,702
"F50";688476,7961;6493736,296
"F57";689172,6253;6494615,462
"F17";688116,7151;6493642,918
"F21";687164,5721;6493111,883
"F24";689897,2382;6493329,57
"F31";689926,5671;6493607,155
"F41";687650,2402;6492217,023
"F43";687525,4173;6492133,541
"F44";687408,9163;6492075,141
"F45";687285,4781;6492098,272
"F47";687033,0683;6492481,265
"F48";687242,5831;6492568,227
"F49";688411,8502;6493518,087
"F53";688826,395;6494079,805
"F54";688908,8206;6494266,781
"F55";688927,5689;6494452,317
"F56";689066,8875;6494563,343
"F59";687581,6841;6493096,148
"F14";688115,4999;6493336,525
"F19";688306,5427;6493623,787
"F33";688078,5433;6492951,13
"F51";688649,6571;6493827,372
"F52";688758,3659;6493916,57
"F58";687505,6407;6492928,056
"F12";688583,0213;6492440,33
"F13";688509,521;6492579,283
"F2";688970,2425;6492922,484
"F3";689045,4277;6492893,699
"F34";688121,5881;6492729,718
"F35";688096,1736;6492542,865
"F36";688067,6593;6492448,969
"F37";688019,9097;6492337,897
"F38";687881,3183;6492314,292
"F4";689031,4448;6492842,75
"F42";687597,4706;6492176,04
"F5";689489,4437;6493128,358
"F6";689590,6126;6493189,155
"F60";687761,7683;6493232,605
"F8";686866,8231;6492190,546
"F22";689724,8815;6493444,462
"F39";687806,1691;6492243,81
"F7";686928,8508;6492067,701
"F1";688794,1116;6493147,574
"F10";688647,5756;6492951,611
"F11";688640,1688;6492743,955
"F9";687058,1149;6492217,239
